kappa_eff,entropy_eff,mass_eff,inertial_idx,risk_index,risk_class,loventre_global_decision,loventre_global_color,loventre_global_score,meta_label,source_file
3.0,,1.0,3.0,3.0,HIGH,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_1.json
0.3,,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_10.json
0.0,,1.0,0.0,0.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_11.json
-0.3,,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_12.json
-0.6,,1.0,0.6,0.6,LOW,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_13.json
-0.9,,1.0,0.9,0.9,LOW,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_14.json
-1.2,,1.0,1.2,1.2,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_15.json
-1.5,,1.0,1.5,1.5,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_16.json
-1.8,,1.0,1.8,1.8,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_17.json
-2.1,,1.0,2.1,2.1,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_18.json
-2.4,,1.0,2.4,2.4,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_19.json
2.7,,1.0,2.7,2.7,HIGH,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_2.json
-2.7,,1.0,2.7,2.7,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_20.json
-3.0,,1.0,3.0,3.0,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,lmetrics_v6_cli_case_21.json
3.0,1.0,1.0,3.0,3.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_22.json
2.7,1.0,1.0,2.7,2.7,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_23.json
2.4,1.0,1.0,2.4,2.4,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_24.json
2.1,1.0,1.0,2.1,2.1,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_25.json
1.8,1.0,1.0,1.8,1.8,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_26.json
1.5,1.0,1.0,1.5,1.5,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_27.json
1.2,1.0,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_28.json
0.9,1.0,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_29.json
2.4,,1.0,2.4,2.4,HIGH,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_3.json
0.6,1.0,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_30.json
0.3,1.0,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_31.json
0.0,1.0,1.0,0.0,0.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_32.json
-0.3,1.0,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_33.json
-0.6,1.0,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_34.json
-0.9,1.0,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_35.json
-1.2,1.0,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_36.json
-1.5,1.0,1.0,1.5,1.5,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_37.json
-1.8,1.0,1.0,1.8,1.8,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_38.json
-2.1,1.0,1.0,2.1,2.1,LOW,SAFE,GREEN,1.0,meta_v6_seed,lmetrics_v6_cli_case_39.json
