kappa_eff,entropy_eff,mass_eff,inertial_idx,risk_index,risk_class,loventre_global_decision,loventre_global_color,loventre_global_score,meta_label,source_file
3.0,,1.0,3.0,3.0,HIGH,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_001.json
3.0,1.0,1.0,3.0,3.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_002.json
3.0,4.0,1.0,3.0,3.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_003.json
2.7,4.0,1.0,2.7,2.7,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_004.json
2.7,,1.0,2.7,2.7,HIGH,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_005.json
2.7,1.0,1.0,2.7,2.7,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_006.json
2.4,,1.0,2.4,2.4,HIGH,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_007.json
2.4,4.0,1.0,2.4,2.4,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_008.json
2.4,1.0,1.0,2.4,2.4,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_009.json
2.1,4.0,1.0,2.1,2.1,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_010.json
2.1,,1.0,2.1,2.1,HIGH,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_011.json
2.1,1.0,1.0,2.1,2.1,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_012.json
1.8,,1.0,1.8,1.8,HIGH,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_013.json
1.8,4.0,1.0,1.8,1.8,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_014.json
1.8,1.0,1.0,1.8,1.8,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_015.json
1.5,1.0,1.0,1.5,1.5,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_016.json
1.5,4.0,1.0,1.5,1.5,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_017.json
1.5,,1.0,1.5,1.5,HIGH,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_018.json
1.2,1.0,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_019.json
1.2,,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_020.json
1.2,4.0,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_021.json
0.9,1.0,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_022.json
0.9,4.0,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_023.json
0.9,,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_024.json
0.6,4.0,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_025.json
0.6,,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_026.json
0.6,1.0,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_027.json
0.3,,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_028.json
0.3,4.0,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_029.json
0.3,1.0,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_030.json
0.0,4.0,1.0,0.0,0.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_031.json
0.0,,1.0,0.0,0.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_032.json
0.0,1.0,1.0,0.0,0.0,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_033.json
-0.3,1.0,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_034.json
-0.3,,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_035.json
-0.3,4.0,1.0,0.3,0.3,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_036.json
-0.6,1.0,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_037.json
-0.6,,1.0,0.6,0.6,LOW,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_038.json
-0.6,4.0,1.0,0.6,0.6,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_039.json
-0.9,1.0,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_040.json
-0.9,,1.0,0.9,0.9,LOW,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_041.json
-0.9,4.0,1.0,0.9,0.9,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_042.json
-1.2,4.0,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_043.json
-1.2,1.0,1.0,1.2,1.2,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_044.json
-1.2,,1.0,1.2,1.2,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_045.json
-1.5,4.0,1.0,1.5,1.5,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_046.json
-1.5,,1.0,1.5,1.5,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_047.json
-1.5,1.0,1.0,1.5,1.5,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_048.json
-1.8,,1.0,1.8,1.8,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_049.json
-1.8,4.0,1.0,1.8,1.8,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_050.json
-1.8,1.0,1.0,1.8,1.8,LOW,SAFE,GREEN,1.0,meta_v6_seed,witness_v6_051.json
-2.1,,1.0,2.1,2.1,HIGH,BLACKHOLE,RED,0.0,meta_v6_seed,witness_v6_052.json
